;Movie name;Rating;IMDb name;genre;IMDb rating count;IMDb rating;metascore;year;Action;Adventure;Animation;Biography;Comedy;Crime;Drama;Family;Fantasy;History;Horror;Music;Musical;Mystery;PG;R;Romance;Sport;Thriller;War;Western
58;Primer ;8.2;Primer ;Drama,Thriller;87327;6.9;68.0;2004.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
59;Youth;8.2;Youth ;Comedy,Drama,Music,Romance;61922;7.3;64.0;2015.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
60;Doctor Strange ;8.1;Doctor Strange ;Action,Adventure,Fantasy;460879;7.5;72.0;2016.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
61;The emperor's new groove ;8.1;The Emperor's New Groove ;Animation,Adventure,Comedy,Family,Fantasy;154042;7.3;70.0;2000.0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
62;The incredibles ;8.0;The Incredibles ;Animation,Action,Adventure,Family;574668;8.0;90.0;2004.0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
63;Jurassic world ;8.0;Jurassic World ;Action,Adventure;520038;7.0;59.0;2015.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;The revenant ;8.0;The Revenant ;Action,Adventure,Biography,Drama,Western;585074;8.0;76.0;2015.0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
65;Pk ;8.0;PK ;Comedy,Drama,Fantasy;130300;8.2;;2014.0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
66;Everest ;7.9;Everest ;Action,Adventure,Biography,Drama,Thriller;175538;7.1;64.0;2015.0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
67;Call me by your name;7.9;Call Me by Your Name ;Drama,Romance;132864;7.9;93.0;2017.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
68;22 jump street ;7.8;22 Jump Street ;Action,Comedy,Crime;309563;7.0;71.0;2014.0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;Man from UNCLE ;7.8;The Man from U.N.C.L.E. ;Action,Adventure,Comedy;232465;7.3;56.0;2015.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;Beast of no nation ;7.8;Beasts of No Nation ;Drama,War;60299;7.8;79.0;2015.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
